ExperimentName	Subject	Session	Block	GunKey	mapping	Procedure[Block]	ResponseMapping	ResponseMapping.Cycle	ResponseMapping.Sample	Running[Block]	ToolKey	Trial	DoIntro	DoIntro.Cycle	DoIntro.Sample	Procedure[Trial]	Running[Trial]	SubTrial	BlockProcList	BlockProcList.Cycle	BlockProcList.Sample	Condition	Procedure[SubTrial]	Running[SubTrial]	LogLevel5	BlackFace	BlackGunList	BlackPrime	BlackTarget	ChunkList1	ChunkList1.Cycle	ChunkList1.Sample	Correct	Cue.DurationError	Cue.OnsetDelay	Cue.OnsetTime	CueType	feedbackmask	feedduration	FeedMask.ACC	FeedMask.CRESP	FeedMask.DurationError	FeedMask.OnsetDelay	FeedMask.OnsetTime	FeedMask.RESP	FeedMask.RT	FeedMask.RTTime	GunPic	GunTarget	Mask.DurationError	Mask.OnsetDelay	Mask.OnsetTime	Probe.ACC	Probe.CRESP	Probe.DurationError	Probe.OnsetDelay	Probe.OnsetTime	Probe.RESP	Probe.RT	Probe.RTTime	ProbeType	Procedure[LogLevel5]	Response.DurationError	Response.OnsetDelay	Response.OnsetTime	Running[LogLevel5]	TrialType	WhiteFace	WhitePrime
Scherer_2015_WIP	1	1	1	j	RightGun	SubsessionProc	1	2	1	ResponseMapping	f	3	2	1	3	RunProc	DoIntro	1	1	4	1	BlackGun	BlackGunProc	BlockProcList	54	11	2	BlackFace4.bmp	BlackFace2.bmp	3	2	153	j	0	1	569442	BlackFace4.bmp	fast	500	0		0	1	570143		0	0	2	WEAPON2.bmp	0	0	568441	1	j	0	0	569642	j	362	570004	WEAPON2.bmp	TrialProc	0	0	569842	ChunkList1	BlackGun		
Scherer_2015_WIP	1	1	1	j	RightGun	SubsessionProc	1	2	1	ResponseMapping	f	3	2	1	3	RunProc	DoIntro	1	1	4	1	BlackGun	BlackGunProc	BlockProcList	55	1	1	BlackFace1.bmp	BlackFace2.bmp	3	2	154	f	0	1	571644	BlackFace1.bmp	fast	500	0		0	1	572345		0	0			0	0	570643	1	f	0	0	571844	f	384	572228	BlackFace2.bmp	TrialProc	0	0	572044	ChunkList1	BlackBlack		
Scherer_2015_WIP	1	1	1	j	RightGun	SubsessionProc	1	2	1	ResponseMapping	f	3	2	1	3	RunProc	DoIntro	1	1	4	1	BlackGun	BlackGunProc	BlockProcList	56	6	3	BlackFace2.bmp	BlackFace4.bmp	3	2	155	f	0	1	573846	whiteface1.bmp	fast	500	0		0	1	574547		0	0			0	0	572845	1	f	0	0	574046	f	374	574420	BlackFace4.bmp	TrialProc	0	0	574246	ChunkList1	WhiteBlack	1	whiteface1.bmp
Scherer_2015_WIP	1	1	1	j	RightGun	SubsessionProc	1	2	1	ResponseMapping	f	3	2	1	3	RunProc	DoIntro	1	1	4	1	BlackGun	BlackGunProc	BlockProcList	57	4	3	BlackFace2.bmp	BlackFace1.bmp	3	2	156	f	0	1	576048	whiteface4.bmp	fast	500	0		0	1	576750		0	0			0	0	575047	1	f	0	0	576248	f	356	576604	BlackFace1.bmp	TrialProc	0	1	576449	ChunkList1	WhiteBlack	4	whiteface4.bmp
Scherer_2015_WIP	1	1	1	j	RightGun	SubsessionProc	1	2	1	ResponseMapping	f	3	2	1	3	RunProc	DoIntro	1	1	4	1	BlackGun	BlackGunProc	BlockProcList	58	8	3	BlackFace3.bmp	BlackFace2.bmp	3	2	157	f	0	1	578250	whiteface3.bmp	fast	500	0		0	1	578952		0	0			0	-1	577249	1	f	0	0	578450	f	402	578852	BlackFace2.bmp	TrialProc	0	1	578651	ChunkList1	WhiteBlack	3	whiteface3.bmp
Scherer_2015_WIP	1	1	1	j	RightGun	SubsessionProc	1	2	1	ResponseMapping	f	3	2	1	3	RunProc	DoIntro	1	1	4	1	BlackGun	BlackGunProc	BlockProcList	59	2	1	BlackFace1.bmp	BlackFace3.bmp	3	2	158	f	0	1	580452	BlackFace1.bmp	fast	500	0		0	1	581154		0	0			0	-1	579451	1	f	0	1	580653	f	375	581028	BlackFace3.bmp	TrialProc	0	0	580853	ChunkList1	BlackBlack		
Scherer_2015_WIP	1	1	1	j	RightGun	SubsessionProc	1	2	1	ResponseMapping	f	3	2	1	3	RunProc	DoIntro	1	1	4	1	BlackGun	BlackGunProc	BlockProcList	60		4			3	2	159	j	0	1	582654	whiteface2.bmp	fast	500	0		0	1	583356		0	0	4	WEAPON4.bmp	0	-1	581653	1	j	0	1	582855	j	373	583228	WEAPON4.bmp	TrialProc	0	0	583055	ChunkList1	WhiteGun	2	whiteface2.bmp
Scherer_2015_WIP	1	1	1	j	RightGun	SubsessionProc	1	2	1	ResponseMapping	f	3	2	1	3	RunProc	DoIntro	1	1	4	1	BlackGun	BlackGunProc	BlockProcList	61	10	1	BlackFace4.bmp	BlackFace1.bmp	3	2	160	f	0	1	584856	BlackFace4.bmp	fast	500	0		0	1	585558		0	0			0	-1	583855	1	f	0	1	585057	f	371	585428	BlackFace1.bmp	TrialProc	0	0	585257	ChunkList1	BlackBlack		
Scherer_2015_WIP	1	1	1	j	RightGun	SubsessionProc	1	2	1	ResponseMapping	f	3	2	1	3	RunProc	DoIntro	1	1	4	1	BlackGun	BlackGunProc	BlockProcList	62		4			3	2	161	j	0	1	587059	whiteface2.bmp	fast	500	0		0	1	587760		0	0	1	WEAPON1.bmp	0	0	586058	1	j	0	0	587259	j	377	587636	WEAPON1.bmp	TrialProc	0	0	587459	ChunkList1	WhiteGun	2	whiteface2.bmp
Scherer_2015_WIP	1	1	1	j	RightGun	SubsessionProc	1	2	1	ResponseMapping	f	3	2	1	3	RunProc	DoIntro	1	1	4	1	BlackGun	BlackGunProc	BlockProcList	63		4			3	2	162	j	0	1	589261	whiteface1.bmp	fast	500	0		0	1	589962		0	0	2	WEAPON2.bmp	0	0	588260	1	j	0	0	589461	j	359	589820	WEAPON2.bmp	TrialProc	0	0	589661	ChunkList1	WhiteGun	1	whiteface1.bmp
